SETTORE CONCORSUALE,TITOLO,ISSN,NOTE
10/A1,A.I.O.N. ANNALI DELL'ISTITUTO UNIVERSITARIO ORIENTALE DI NAPOLI. DIPARTIMENTO DI STUDI DEL MONDO CLASSICO E DEL MEDITERRANEO ANTICO. SEZIONE FILOLOGICO-LETTERARIA,1724-6172,.
10/A1,AETHIOPICA,1430-1938,.
10/A1,AEVUM,0001-9593,.
10/A1,AGRI CENTURIATI,1724-904X,.
10/A1,AMERICAN JOURNAL OF ARCHAEOLOGY,0002-9114,.
10/A1,AMERICAN JOURNAL OF PHYSICAL ANTHROPOLOGY,0002-9483,.
10/A1,ANATOLIAN STUDIES,0066-1546,.
10/A1,ANNALI DELLA SCUOLA NORMALE SUPERIORE DI PISA. CLASSE DI LETTERE E FILOSOFIA,0392-095X,.
10/A1,ANNALI DI ARCHEOLOGIA E STORIA ANTICA,1127-7130,In Classe A fino al 31.12.2016 - Le pubblicazioni successive a tale data non saranno ritenute di Classe A
10/A1,ANNALI DI STORIA DELL'ESEGESI,1120-4001,.
10/A1,ANNALI. SEZIONE DI ARCHEOLOGIA E STORIA ANTICA - DIPARTIMENTO DI STUDI DEL MONDO CLASSICO E DEL MEDITERRANEO ANTICO,1121-8347,.
10/A1,ANNALI-ISTITUTO ITALIANO DI NUMISMATICA,0578-9923,.
10/A1,ANNUARIO DELLA SCUOLA ARCHEOLOGICA DI ATENE E DELLE MISSIONI ITALIANE IN ORIENTE,0067-0081,.
10/A1,ANTIKE KUNST,0003-5688,.
10/A1,ANTIQUITÉ TARDIVE,1250-7334,.
10/A1,ANTIQUITY,0003-598X,.
10/A1,"APPLIED PHYSICS. A, MATERIALS SCIENCE & PROCESSING",0947-8396,.
10/A1,ARABIAN ARCHAEOLOGY AND EPIGRAPHY,0905-7196,.
10/A1,ARCHAEOMETRY,0003-813X,.
10/A1,ARCHAEOMETRY,1475-4754,.
10/A1,ARCHÄOLOGISCHE MITTEILUNGEN AUS IRAN UND TURAN,1434-2758,.
10/A1,ARCHAOLOGISCHER ANZEIGER,0003-8105,.
10/A1,ARCHÄOLOGISCHES KORRESPONDENZBLATT,0342-734X,.
10/A1,ARCHEOLOGIA CLASSICA,0391-8165,.
10/A1,ARCHEOLOGIA DELL'ARCHITETTURA,1126-6236,.
10/A1,ARCHEOLOGIA E CALCOLATORI,1120-6861,.
10/A1,ARCHEOLOGIA MEDIEVALE,0390-0592,.
10/A1,ARCHÉOLOGIE MÉDIÉVALE,0153-9337,.
10/A1,ARCHIV FUR PAPYRUSFORSCHUNG UND VERWANDTE GEBIETE,0066-6459,.
10/A1,ATHENAEUM,0004-6574,.
10/A1,ATLANTE TEMATICO DI TOPOGRAFIA ANTICA,2036-3834,.
10/A1,ATTI DELLA ACCADEMIA NAZIONALE DEI LINCEI. MEMORIE CLASSE DI SCIENZE MORALI STORICHE E FILOLOGICHE,0391-8149,.
10/A1,ATTI DELLA ACCADEMIA NAZIONALE DEI LINCEI. NOTIZIE DEGLI SCAVI DI ANTICHITÀ,0391-8157,In Classe A fino al 31.12.2016 - Le pubblicazioni successive a tale data non saranno ritenute di Classe A
10/A1,"ATTI DELLA ACCADEMIA NAZIONALE DEI LINCEI. RENDICONTI. CLASSE DI SCIENZE MORALI, STORICHE E FILOLOGICHE",0391-8181,.
10/A1,"ATTI DELLA PONTIFICIA ACCADEMIA ROMANA DI ARCHEOLOGIA. SERIE III, MEMORIE. IN 4",1015-1230,.
10/A1,"ATTI DELLA PONTIFICIA ACCADEMIA ROMANA DI ARCHEOLOGIA. SERIE III, RENDICONTI",1019-9500,.
10/A1,AUGUSTINIANUM,0004-8011,.
10/A1,BABESCH. BULLETIN ANTIEKE BESCHAVING,0165-9367,.
10/A1,BIZANTINISTICA,1591-0172,.
10/A1,BOLLETTINO D'ARTE,0394-4573,.
10/A1,"BOLLETTINO-MONUMENTI, MUSEI E GALLERIE PONTIFICIE",1018-4317,.
10/A1,BULLETIN DE CORRESPONDANCE HELLENIQUE,0007-4217,.
10/A1,BULLETTINO DELLA COMMISSIONE ARCHEOLOGICA COMUNALE DI ROMA,0392-7636,.
10/A1,BULLETTINO DI PALETNOLOGIA ITALIANA,0392-5250,In Classe A fino al 31.12.2016 - Le pubblicazioni successive a tale data non saranno ritenute di Classe A
10/A1,CAMBRIDGE ARCHAEOLOGICAL JOURNAL,0959-7743,.
10/A1,COMPTES RENDUS DE L'ACADÉMIE DES INSCRIPTIONS ET BELLES LETTRES,0065-0536,.
10/A1,CONSTRUCTION AND BUILDING MATERIALS,0950-0618,.
10/A1,CRONACHE ERCOLANESI,0391-1535,.
10/A1,CURRENT ANTHROPOLOGY,0011-3204,.
10/A1,EARLY MEDIEVAL EUROPE,0963-9462,.
10/A1,EGITTO E VICINO ORIENTE,0392-6885,.
10/A1,EIDOLA,1824-6192,.
10/A1,EPIGRAPHICA,0013-9572,.
10/A1,EURASIA ANTIQUA,0949-0434,.
10/A1,EUROPEAN JOURNAL OF ARCHAEOLOGY,1461-9571,.
10/A1,FOLD&R.,1828-3179,.
10/A1,GALENOS,1973-5049,.
10/A1,GEOARCHAEOLOGY,0883-6353,.
10/A1,GEOGRAPHIA ANTIQUA,1121-8940,.
10/A1,GNOMON,0017-1417,.
10/A1,HENOCH,0393-6805,.
10/A1,HESPERIA,0018-098X,.
