TITOLO,ISSN
900,2036-8836
1895,0769-0959
"ANNALI DEL DIPARTIMENTO DI METODI E MODELLI PER L'ECONOMIA, IL TERRITORIO E LA FINANZA",2385-0825
"@RQUEOLOGÍA Y TERRITORIO",1698-5664
1492. RIVISTA DELLA FONDAZIONE PIERO DELLA FRANCESCA,2282-9466
1650-1850,1065-3112
49TH PARALLEL,1753-5794
A CONTRARIO,1660-7880
A DUNÁNÁL,1588-1768
A ORIENTE!,.
A PUBLIC SPACE,1558-965X
A TRABE DE OURO,1130-2674
A. SP.,1246-8185
"A.I.O.N. ANNALI DELL'ISTITUTO UNIVERSITARIO ORIENTALE DI NAPOLI. DIPARTIMENTO DI STUDI DEL MONDO CLASSICO
E DEL MEDITERRANEO ANTICO. SEZIONE FILOLOGICO-LETTERARIA",1724-6172
"A.I.O.N. ANNALI DELL'ISTITUTO UNIVERSITARIO ORIENTALE DI NAPOLI. DIPARTIMENTO DI STUDI DEL MONDO CLASSICO
E DEL MEDITERRANEO ANTICO. SEZIONE FILOLOGICO-LETTERARIA. QUADERNI",1128-7217
"AAA TAC, ACOUSTICAL ARTS AND ARTIFACTS. TECHNOLOGY, AESTHETICS, COMMUNICATION.",1824-6176
AAD - ARGUMENTATION ET ANALYSE DU DISCOURS,1565-8961
AALITRA REVIEW,1838-1294
AAM.TAC,1824-6184
AAM.TAC,1825-201X
AARGNEWS,1756-753X
AB IMPERIO. ISSLEDOVANIJA PO NOVOJ IMPERSKOJ ISTORII I NACIONALIZMUV POSTSOVETSKOM PROSTRANSTVE,2166-4072
ABEI JOURNAL: THE BRAZILIAN JOURNAL OF IRISH STUDIES,1518-0581
ABGADIYAT,1687-8280
ABITARE,0001-3218
ABLE MUSE,1528-3798
ABOUT LARKIN,1362-542X
ABRUZZO,0001-3366
ABSTRACTA IRANICA,0240-8910
ACADEMIA,1125-4203
ACADEMIC EXCHANGE QUARTERLY,1096-1453
ACANTHE,1728-4821
ACCADEMIA,1296-7645
ACCADEMIE E BIBLIOTECHE D'ITALIA,0001-4451
ACCORDIA RESEARCH PAPERS,0968-1116
ACM,0730-8329
ACME,0001-494X
ACME,1492-9732
"ÁCOMA",1122-6218
ACOTACIONES,1130-7269
ACROSS LANGUAGES AND CULTURES,1585-1923
ACROSS LANGUAGES AND CULTURES,1588-2519
ACTA ANTIQUA ACADEMIAE SCIENTIARUM HUNGARICAE,0044-5975
ACTA ARCHAEOLOGICA ACADEMIAE SCIENTIARUM HUNGARICAE,0001-5210
ACTA BIMESTRIA POPULI ROMANI,2039-0122
ACTA CLASSICA,0065-1141
