SETTORE CONCORSUALE,TITOLO,ISSN,NOTE
11/A1,ANNALES,0395-2649,.
11/A1,ANNALES,1953-8146,.
11/A1,ANTIGUO ORIENTE,1667-9202,.
11/A1,ANUARIO DE ESTUDIOS MEDIEVALES,0066-5061,.
11/A1,ARCHIVIO STORICO ITALIANO,0391-7770,.
11/A1,BIBLIOTHEQUE DE L'ECOLE DES CHARTES,0373-6237,.
11/A1,BULLETIN OF MEDIEVAL CANON LAW,0146-2989,.
11/A1,BULLETTINO DELL'ISTITUTO STORICO ITALIANO PER IL MEDIO EVO,1127-6096,.
11/A1,BUSINESS HISTORY,0007-6791,.
11/A1,BUSINESS HISTORY REVIEW,0007-6805,.
11/A1,CAHIERS DE CIVILISATION MÉDIÉVALE,0007-9731,.
11/A1,CHURCH HISTORY,0009-6407,.
11/A1,CLIOMETRICA,1863-2505,.
11/A1,CLIOMETRICA,1863-2513,.
11/A1,COMPARATIVE STUDIES IN SOCIETY AND HISTORY,0010-4175,.
11/A1,COMPARATIVE STUDIES IN SOCIETY AND HISTORY,1475-2999,.
11/A1,CONTEMPORANEA,1127-3070,.
11/A1,CONTEMPORARY EUROPEAN HISTORY,0960-7773,.
11/A1,CONTINUITY AND CHANGE,0268-4160,.
11/A1,"CRIME, HISTOIRE & SOCIÉTÉS",1422-0857,.
11/A1,DEUTSCHES ARCHIV FÜR ERFORSCHUNG DES MITTELALTERS,0012-1223,.
11/A1,EARLY MEDIEVAL EUROPE,0963-9462,.
11/A1,ECONOMIC HISTORY REVIEW,0013-0117,.
11/A1,ENVIRONMENT AND HISTORY,0967-3407,.
11/A1,ENVIRONMENTAL HISTORY,1084-5453,.
11/A1,EUROPEAN HISTORY QUARTERLY,0265-6914,.
11/A1,EUROPEAN REVIEW OF ECONOMIC HISTORY,1361-4916,.
11/A1,EUROPEAN REVIEW OF HISTORY,1350-7486,.
11/A1,EUROPEAN REVIEW OF HISTORY,1469-8293,.
11/A1,EXPLORATIONS IN ECONOMIC HISTORY,0014-4983,.
11/A1,FINANCIAL HISTORY REVIEW,0968-5650,.
11/A1,FINANCIAL HISTORY REVIEW,1474-0052,.
11/A1,FRÜHMITTELALTERLICHE STUDIEN,0071-9706,.
11/A1,GENDER & HISTORY,0953-5233,.
11/A1,GENDER & HISTORY,1468-0424,.
11/A1,GENÈSES,1155-3219,.
11/A1,GENÈSES,1776-2944,.
11/A1,GENESIS,1167-5101,.
11/A1,GENESIS,1594-9281,.
11/A1,GESCHICHTE UND GESELLSCHAFT,0340-613X,.
11/A1,GNOMON,0017-1417,.
11/A1,"GREEK, ROMAN AND BYZANTINE STUDIES",0017-3916,.
11/A1,HASKINS SOCIETY JOURNAL,0963-4959,.
11/A1,HISPANIA,0018-2141,.
11/A1,HISTOIRE SOCIALE,0018-2257,.
11/A1,"HISTOIRE, ÉCONOMIE ET SOCIÉTÉ",0752-5702,.
11/A1,HISTORICAL METHODS,0161-5440,.
11/A1,HISTORICAL METHODS,1940-1906,.
11/A1,HISTORISCHE ZEITSCHRIFT,0018-2613,.
11/A1,HISTORY AND ANTHROPOLOGY,0275-7206,.
11/A1,HISTORY AND ANTHROPOLOGY,1477-2612,.
11/A1,HISTORY AND THEORY,0018-2656,.
11/A1,HISTORY OF POLITICAL THOUGHT,0143-781X,.
11/A1,HISTORY WORKSHOP JOURNAL,1363-3554,.
11/A1,HISTORY WORKSHOP JOURNAL,1477-4569,.
11/A1,INTERNATIONAL JOURNAL OF HERITAGE STUDIES,1352-7258,.
11/A1,INTERNATIONAL JOURNAL OF HERITAGE STUDIES,1470-3610,.
11/A1,INTERNATIONAL JOURNAL OF MIDDLE EAST STUDIES,0020-7438,.
11/A1,INTERNATIONAL JOURNAL OF MIDDLE EAST STUDIES,1471-6380,.
11/A1,INTERNATIONAL REVIEW OF SOCIAL HISTORY,0020-8590,.
11/A1,INTERNATIONAL REVIEW OF SOCIAL HISTORY,1469-512X,.
11/A1,JOURNAL OF AMERICAN HISTORY,0021-8723,.
11/A1,JOURNAL OF CONTEMPORARY HISTORY,0022-0094,.
11/A1,JOURNAL OF CONTEMPORARY HISTORY,1461-7250,.
11/A1,JOURNAL OF EARLY CHRISTIAN STUDIES,1067-6341,.
11/A1,JOURNAL OF EARLY CHRISTIAN STUDIES,1086-3184,.
11/A1,JOURNAL OF FAMILY HISTORY,0363-1990,.
11/A1,JOURNAL OF FAMILY HISTORY,1552-5473,.
11/A1,JOURNAL OF GLOBAL HISTORY,1740-0228,.
11/A1,JOURNAL OF GLOBAL HISTORY,1740-0236,.
11/A1,JOURNAL OF HELLENIC STUDIES,0075-4269,.
11/A1,JOURNAL OF HELLENIC STUDIES,2041-4099,.
11/A1,JOURNAL OF HISTORICAL GEOGRAPHY,0305-7488,.
11/A1,JOURNAL OF INTERDISCIPLINARY HISTORY,0022-1953,.
11/A1,JOURNAL OF MEDIEVAL AND EARLY MODERN STUDIES,1082-9636,.
11/A1,JOURNAL OF MEDIEVAL AND EARLY MODERN STUDIES,1527-8263,.
11/A1,JOURNAL OF MEDIEVAL HISTORY,0304-4181,.
11/A1,JOURNAL OF MEDIEVAL HISTORY,1873-1279,.
11/A1,JOURNAL OF MODERN HISTORY,0022-2801,.
11/A1,JOURNAL OF MODERN ITALIAN STUDIES,1354-571X,.
11/A1,JOURNAL OF SOCIAL HISTORY,0022-4529,.
11/A1,JOURNAL OF SOCIAL HISTORY,1527-1897,.
11/A1,JOURNAL OF THE HISTORY OF IDEAS,0022-5037,.
11/A1,JOURNAL OF THE HISTORY OF IDEAS,1086-3222,.
11/A1,JOURNAL OF URBAN HISTORY,0096-1442,.
11/A1,JOURNAL OF URBAN HISTORY,1552-6771,.
11/A1,JOURNAL OF WOMEN'S HISTORY,1042-7961,.
11/A1,KRITIKA,1531-023X,.
11/A1,LATOMUS,0023-8856,.
11/A1,LATOMUS,2294-4427,.
11/A1,LE MOYEN-ÂGE,0027-2841,.
11/A1,MEDIEVAL ENCOUNTERS,1380-7854,.
11/A1,MEDIEVAL ENCOUNTERS,1570-0674,.
11/A1,MÉLANGES DE L'ÉCOLE FRANÇAISE DE ROME. ANTIQUITÉ,0223-5102,.
11/A1,MÉLANGES DE L'ÉCOLE FRANÇAISE DE ROME. ITALIE ET MÉDITERRANÉE,1123-9891,.
11/A1,MÉLANGES DE L'ÉCOLE FRANÇAISE DE ROME. ITALIE ET MÉDITERRANÉE,1724-2142,.
11/A1,MÉLANGES DE L'ÉCOLE FRANÇAISE DE ROME. MOYEN AGE,1123-9883,.
11/A1,MÉLANGES DE L'ÉCOLE FRANÇAISE DE ROME. MOYEN AGE,1724-2150,.
11/A1,MEMORIA E RICERCA,1127-0195,.
11/A1,MONDO CONTEMPORANEO,1825-8905,.
11/A1,NUMEN,0029-5973,.
11/A1,NUOVA RIVISTA STORICA,0029-6236,.
11/A1,ÖZG. ÖSTERREICHISCHE ZEITSCHRIFT FÜR GESCHICHTSWISSENSCHAFTEN,1016-765X,.
11/A1,PASSATO E PRESENTE,1120-0650,.
11/A1,PAST & PRESENT,0031-2746,.
11/A1,PAST & PRESENT,1477-464X,.
11/A1,POPULATION STUDIES,0032-4728,.
11/A1,POPULATION STUDIES,1477-4747,.
11/A1,QUADERNI STORICI,0301-6307,.
11/A1,QUELLEN UND FORSCHUNGEN AUS ITALIENISCHEN ARCHIVEN UND BIBLIOTHEKEN,0079-9068,.
11/A1,RELIGION,0048-721X,.
11/A1,RELIGION,1096-1151,.
11/A1,RENAISSANCE STUDIES,0269-1213,.
11/A1,RENAISSANCE STUDIES,1477-4658,.
11/A1,RETHINKING HISTORY,1364-2529,.
11/A1,RETHINKING HISTORY,1470-1154,.
11/A1,REVUE DE L'HISTOIRE DES RELIGIONS,0035-1423,.
11/A1,REVUE D'HISTOIRE ECCLÉSIASTIQUE,0035-2381,.
11/A1,REVUE D'HISTOIRE MODERNE ET CONTEMPORAINE,0048-8003,.
11/A1,REVUE HISTORIQUE,0035-3264,.
11/A1,RICERCHE DI STORIA POLITICA,1120-9526,.
11/A1,RINASCIMENTO,0080-3073,.
11/A1,RIVISTA DI STORIA DEL CRISTIANESIMO,1827-7365,.
11/A1,RIVISTA DI STORIA DELLA CHIESA IN ITALIA,0035-6557,.
11/A1,RIVISTA DI STORIA E LETTERATURA RELIGIOSA,0035-6573,.
11/A1,RIVISTA STORICA ITALIANA,0035-7073,.
11/A1,RM RIVISTA,1593-2214,.
11/A1,ROMISCHE HISTORISCHE MITTEILUNGEN,0080-3790,.
11/A1,RŐMISCHE QUARTALSCHRIFT FŰR CHRISTLICHE ALTERTUMSKUNDE UND KIRCHENGESCHICHTE,0035-7812,.
11/A1,SCHWEIZERISCHE ZEITSCHRIFT FÜR GESCHICHTE,0036-7834,.
11/A1,SOCIAL HISTORY,0307-1022,.
11/A1,SOCIETÀ E STORIA,0391-6987,.
11/A1,SPECULUM,0038-7134,.
11/A1,STORIA DELLA STORIOGRAFIA,0392-8926,.
11/A1,STORICA,1125-0194,.
11/A1,STORICA,1973-2236,.
11/A1,STUDI E MATERIALI DI STORIA DELLE RELIGIONI,0393-8417,.
11/A1,STUDI MEDIEVALI,0391-8467,.
11/A1,STUDI STORICI,0039-3037,.
11/A1,TECHNOLOGY AND CULTURE,0040-165X,.
11/A1,TECHNOLOGY AND CULTURE,1097-3729,.
11/A1,THE AMERICAN HISTORICAL REVIEW,0002-8762,.
11/A1,THE ECONOMIC HISTORY REVIEW,1468-0289,.
11/A1,THE ENGLISH HISTORICAL REVIEW,0013-8266,.
11/A1,THE ENGLISH HISTORICAL REVIEW,1477-4534,.
11/A1,THE HISTORICAL JOURNAL,0018-246X,.
11/A1,THE HISTORICAL JOURNAL,1469-5103,.
11/A1,THE HISTORY OF THE FAMILY,1081-602X,.
11/A1,THE HISTORY OF THE FAMILY,1873-5398,.
11/A1,THE INTERNATIONAL HISTORY REVIEW,0707-5332,.
11/A1,THE JOURNAL OF ECCLESIASTICAL HISTORY,0022-0469,.
11/A1,THE JOURNAL OF ECONOMIC HISTORY,0022-0507,.
11/A1,THE JOURNAL OF ECONOMIC HISTORY,1471-6372,.
11/A1,THE JOURNAL OF INTERDISCIPLINARY HISTORY,1530-9169,.
11/A1,THE JOURNAL OF MILITARY HISTORY,0899-3718,.
11/A1,THE JOURNAL OF MILITARY HISTORY,1543-7795,.
11/A1,THE JOURNAL OF MODERN HISTORY,1537-5358,.
11/A1,TRANSACTIONS OF THE ROYAL HISTORICAL SOCIETY,0080-4401,.
11/A1,TRANSACTIONS OF THE ROYAL HISTORICAL SOCIETY,1474-0648,.
11/A1,VIATOR,0083-5897,.
11/A1,VIERTELJAHRSHEFTE FÜR ZEITGESCHICHTE,0042-5702,.
11/A1,VINGTIÈME SIÈCLE,1950-6678,.
11/A1,"VINGTIÈME SIÈCLE, REVUE D'HISTOIRE",0294-1759,.
11/A1,WAR IN HISTORY,0968-3445,.
11/A1,WAR IN HISTORY,1477-0385,.
