TITOLO,ISSN,NOTE
ADL. ARGOMENTI DI DIRITTO DEL LAVORO,1126-5760,.
ADMINISTRATIVE LAW REVIEW,0001-8368,.
AGRICOLTURA ISTITUZIONI MERCATI,1828-194X,.
AMERICAN JOURNAL OF INTERNATIONAL LAW,0002-9300,.
ANALISI E DIRITTO,1126-5779,.
ANALISI GIURIDICA DELL'ECONOMIA,1720-951X,.
ANNALES INTERNATIONALES DE CRIMINOLOGIE,0003-4452,.
ANNALI DEL SEMINARIO GIURIDICO (AUPA),1972-8441,.
ANNALI DEL SEMINARIO GIURIDICO DELL' UNIVERSITÀ DI PALERMO,1972-8433,.
ANNUAIRE FRANÇAIS DE DROIT INTERNATIONAL,0066-3085,.
ANNUARIO DI DIRITTO COMPARATO E DI STUDI LEGISLATIVI,2039-9871,.
ANUARIO DE DERECHO CIVIL,0210-301X,.
ANUARIO DE DERECHO ECLESIÁSTICO DEL ESTADO,0213-8123,.
ANUARIO DE DERECHO MARÍTIMO,0211-8432,.
ANUARIO DE HISTORIA DEL DERECHO ESPANOL,0304-4319,.
ANUARIO IBEROAMERICANO DE JUSTICIA CONSTITUCIONAL,1138-4824,.
ARBEIT UND RECHT,0003-7648,.
ARCHIV DES ÖFFENTLICHEN RECHTS,0003-8911,.
ARCHIV DES VOELKERRECHTS,0003-892X,.
ARCHIV FÜR DIE CIVILISTISCHE PRAXIS,0003-8997,.
ARCHIV FÜR KATHOLISCHES KIRCHENRECHT,0003-9160,.
ARCHIVES DE PHILOSOPHIE DU DROIT,0066-6564,.
ARCHIVES DE POLITIQUE CRIMINELLE,0242-5637,.
ARCHIVIO PENALE,0004-0304,.
ARS INTERPRETANDI,1722-8352,.
ARSP. ARCHIV. FUR RECHTS- UND SOZIALPHILOSOPHIE,0001-2343,.
ARTIFICIAL INTELLIGENCE AND LAW,0924-8463,.
ATHENAEUM,0004-6574,.
BANCA BORSA E TITOLI DI CREDITO,0390-9522,.
BANCA IMPRESA SOCIETÀ,1120-9453,.
BERKELEY JOURNAL OF INTERNATIONAL LAW,1085-5718,.
BRITISH JOURNAL OF CRIMINOLOGY,0007-0955,.
BRITISH TAX REVIEW,0007-1870,.
BRITISH YEAR BOOK OF INTERNATIONAL LAW,2044-9437,.
BULLETTINO DELL'ISTITUTO DI DIRITTO ROMANO 'VITTORIO SCIALOJA',0391-1810,.
CAHIERS DE DROIT EUROPÉEN,0007-9758,.
CANADIAN JOURNAL OF LAW AND SOCIETY,0829-3201,.
CARDOZO JOURNAL OF INTERNATIONAL & COMPARATIVE LAW,1069-3181,.
CARDOZO LAW REVIEW,0270-5192,.
CASSAZIONE PENALE,1125-856X,.
CHICAGO-KENT LAW REVIEW,0009-3599,.
CHINESE JOURNAL OF INTERNATIONAL LAW,1540-1650,.
CIVIL PROCEDURE REVIEW,2191-1339,.
CIVITAS. REVISTA ESPAÑOLA DE DERECHO FINANCIERO,0210-8453,.
CLIO @ THEMIS,2105-0929,.
COLUMBIA JOURNAL OF TRANSNATIONAL LAW,0010-1931,.
COMMON MARKET LAW REVIEW,0165-0750,.
COMPARATIVE LABOR LAW & POLICY JOURNAL,1095-6654,.
COMPARATIVE LEGAL HISTORY,2049-677X,.
COMPUTER LAW & SECURITY REVIEW,0267-3649,.
CONCORRENZA E MERCATO,1720-2698,.
CONSTITUTIONS,2114-5261,.
CONTRATS CONCURRENCE CONSOMMATION,1156-8291,.
CONTRATTO E IMPRESA,1123-5055,.
CONTRATTO E IMPRESA. EUROPA,1127-2872,.
CORNELL INTERNATIONAL LAW JOURNAL,0010-8812,.
COSTITUZIONALISMO.IT,2036-6744,.
"CRIME, HISTOIRE & SOCIÉTÉS",1422-0857,.
CRIMINAL LAW AND PHILOSOPHY,1871-9791,.
CRIMINAL LAW FORUM,1046-8374,.
CRIMINALIA,1972-3857,.
CRMINOGENESIS,1870-9524,.
CUESTIONES CONSTITUCIONALES,1405-9193,.
DER STAAT,0038-884X,.
DERECHO Y RELIGIÓN,1887-3243,.
DERECHOS Y LIBERTADES,1133-0937,.
DEUTSCHES VERWALTUNGSBLATT,0012-1363,.
DIE OFFENTLICHE VERWALTUNG,0029-859X,.
DIE VERWALTUNG,0042-4498,.
DIRITTI LAVORI MERCATI,1722-7666,.
DIRITTI UMANI E DIRITTO INTERNAZIONALE,1971-7105,.
DIRITTO & QUESTIONI PUBBLICHE,1825-0173,.
DIRITTO AMMINISTRATIVO,1720-4526,.
DIRITTO DEI TRASPORTI,1123-5802,.
DIRITTO DEL COMMERCIO INTERNAZIONALE,1593-2605,.
DIRITTO DELLA BANCA E DEL MERCATO FINANZIARIO,1722-8360,.
DIRITTO DELLE RELAZIONI INDUSTRIALI,1121-8762,.
DIRITTO E PRATICA TRIBUTARIA,0012-3447,.
DIRITTO E PRATICA TRIBUTARIA INTERNAZIONALE,1594-199X,.
DIRITTO E PROCESSO AMMINISTRATIVO,1971-6974,Promossa in Classe A in esecuzione della sentenza n.53 dell'11.1.2016 della Sez. VI del Consiglio di Stato
DIRITTO E RELIGIONI,1970-5301,.
DIRITTO E SOCIETÀ,0391-7428,.
DIRITTO PENALE E PROCESSO,1591-5611,.
DIRITTO PROCESSUALE AMMINISTRATIVO,0393-1315,.
DIRITTO PUBBLICO,1721-8985,.
DIRITTO PUBBLICO COMPARATO ED EUROPEO,1720-4313,.
DOXA,0214-8676,.
DROIT DE LA FAMILLE,1270-9824,.
DROIT ET SOCIÉTÉ,0769-3362,.
DROITS,0766-3838,.
EC TAX REVIEW,0928-2750,.
ECCLESIASTICAL LAW JOURNAL,0956-618X,.
EPHEMERIDES IURIS CANONICI,0013-9491,.
ETHICS,0014-1704,.
EUROPA E DIRITTO PRIVATO,1720-4542,.
EUROPARECHT,0531-2485,.
EUROPEAN BUSINESS LAW REVIEW,0959-6941,.
EUROPEAN BUSINESS ORGANIZATION LAW REVIEW,1566-7529,.
EUROPEAN COMMUNITY PRIVATE LAW REVIEW,1612-9229,.
EUROPEAN COMPANY AND FINANCIAL LAW REVIEW,1613-2548,.
EUROPEAN COMPANY AND FINANCIAL LAW REVIEW,1613-2556,.
EUROPEAN COMPETITION LAW REVIEW,0144-3054,.
EUROPEAN CONSTITUTIONAL LAW REVIEW,1574-0196,.
EUROPEAN CRIMINAL LAW REVIEW,2191-7442,.
EUROPEAN INTELLECTUAL PROPERTY REVIEW,0142-0461,.
EUROPEAN JOURNAL OF INTERNATIONAL LAW,0938-5428,.
EUROPEAN JOURNAL OF LEGAL STUDIES,1973-2937,.
EUROPEAN LAW JOURNAL,1351-5993,.
EUROPEAN LAW JOURNAL,1468-0386,.
EUROPEAN LAW REVIEW,0307-5400,.
EUROPEAN PUBLIC LAW,1354-3725,.
EUROPEAN REVIEW OF CONTRACT LAW,1614-9920,.
EUROPEAN REVIEW OF PRIVATE LAW,0928-9801,.
EUROPEAN TAXATION,0014-3138,.
EUZW. EUROPÄISCHE ZEITSCHRIFT FÜR WIRTSCHAFTSRECHT,0937-7204,.
FEDERALISMI.IT,1826-3534,.
FOLIA CANONICA,1419-0060,.
FORUM HISTORIAE IURIS,1860-5605,.
FRONTIERA D'EUROPA,1723-4611,In Classe A fino al 31.12.2016 - Le pubblicazioni successive a tale data non saranno ritenute di Classe A
GERMAN LAW JOURNAL,2071-8322,.
GERMAN YEARBOOK OF INTERNATIONAL LAW,0344-3094,.
GEWERBLICHER RECHTSSCHUTZ UND URHEBERRECHT,0016-9420,.
GEWERBLICHER RECHTSSCHUTZ UND URHEBERRECHT. INTERNATIONALER TEIL,0435-8600,.
GIORNALE DI DIRITTO AMMINISTRATIVO,1591-559X,.
GIORNALE DI DIRITTO DEL LAVORO E DI RELAZIONI INDUSTRIALI,1720-4321,.
GIORNALE DI STORIA COSTITUZIONALE,1593-0793,.
GIURISPRUDENZA COMMERCIALE,0390-2269,.
"GIURISPRUDENZA COMMERCIALE, SOCIETÀ E FALLIMENTO",1592-6974,.
GIURISPRUDENZA COSTITUZIONALE,0436-0222,.
GIURISPRUDENZA DELLE IMPOSTE,1826-2430,.
GIURISPRUDENZA ITALIANA,1125-3029,.
GIUSTIZIA CIVILE,0017-0631,.
GLOBAL COMMUNITY,1535-9468,.
GLOBAL JURIST,1934-2640,.
GLOSSAE,2255-2707,.
GOLTDAMMER'S ARCHIV FÜR STRAFRECHT,0017-1956,.
GROTIANA,0167-3831,.
HARVARD INTERNATIONAL LAW JOURNAL,2153-2494,.
HARVARD LAW REVIEW,0017-811X,.
HISTORIA CONSTITUCIONAL,1576-4729,.
HISTORIA ET IUS,2279-7416,.
HUMAN RIGHTS LAW REVIEW,1461-7781,.
IIC. INTERNATIONAL REVIEW OF INDUSTRIAL PROPERTY AND COPYRIGHT LAW,0018-9855,.
IL DIRITTO DELL'ECONOMIA,1123-3036,.
IL DIRITTO DELL'INFORMAZIONE E DELL'INFORMATICA,1593-5795,.
IL DIRITTO DELL'UNIONE EUROPEA,1125-8551,.
IL DIRITTO ECCLESIASTICO,1128-7772,.
IL DIRITTO FALLIMENTARE E DELLE SOCIETÀ COMMERCIALI,0391-5239,.
IL DIRITTO MARITTIMO,0012-348X,.
IL FORO ITALIANO,0015-783X,.
IL FORO ITALIANO,1827-8213,.
IL GIUSTO PROCESSO CIVILE,1828-311X,.
IL LAVORO NELLE PUBBLICHE AMMINISTRAZIONI,1591-7681,.
INDEX. QUADERNI CAMERTI DI STUDI ROMANISTICI,0392-2391,.
INDIANA JOURNAL OF GLOBAL LEGAL STUDIES,1080-0727,.
INDUSTRIAL LAW JOURNAL,0305-9332,.
INTERNATIONAL CRIMINAL LAW REVIEW,1567-536X,.
INTERNATIONAL DATA PRIVACY LAW,2044-3994,.
INTERNATIONAL JOURNAL OF COMPARATIVE LABOUR LAW AND INDUSTRIAL RELATIONS,0952-617X,.
INTERNATIONAL JOURNAL OF CONSTITUTIONAL LAW,1474-2640,.
INTERNATIONAL JOURNAL OF LAW AND INFORMATION TECHNOLOGY,0967-0769,.
INTERNATIONAL JOURNAL OF PROCEDURAL LAW,2034-5275,.
INTERNATIONAL JOURNAL OF PUBLIC ADMINISTRATION,0190-0692,.
INTERNATIONAL LABOUR REVIEW,0020-7780,.
INTERNATIONAL ORGANIZATIONS LAW REVIEW,1572-3739,.
INTERNATIONAL REVIEW OF ADMINISTRATIVE SCIENCES,0020-8523,.
INTERNATIONAL REVIEW OF THE RED CROSS,0020-8604,.
INTERTAX,0165-2826,.
INT'L LIS,1594-7955,.
ISONOMIA,1405-0218,.
ITALIAN JOURNAL OF PUBLIC LAW,2239-8279,.
ITALIAN YEARBOOK OF INTERNATIONAL LAW,0391-5107,.
IURA,0021-3241,.
IURIS ANTIQUI HISTORIA,2035-4967,.
IUS CANONICUM,0021-325X,.
IUS ECCLESIAE,1120-6462,.
JAHRBUCH DES ÖFFENTLICHEN RECHTS DER GEGENWART,0075-2517,.
JAHRBUCH FÜR ITALIENISCHES RECHT,0932-772X,.
JOURNAL DU DROIT INTERNATIONAL,0021-8170,.
JOURNAL OF CHURCH AND STATE,0021-969X,.
JOURNAL OF CHURCH AND STATE,2040-4867,.
JOURNAL OF CORPORATE LAW STUDIES,1473-5970,.
JOURNAL OF CRIMINAL LAW & CRIMINOLOGY,0091-4169,.
JOURNAL OF EMPIRICAL LEGAL STUDIES,1740-1453,.
JOURNAL OF ETHICS & SOCIAL PHILOSOPHY,1559-3061,.
JOURNAL OF INTERNATIONAL CRIMINAL JUSTICE,1478-1387,.
JOURNAL OF INTERNATIONAL ECONOMIC LAW,1369-3034,.
JOURNAL OF JURISTIC PAPYROLOGY,0075-4277,.
JOURNAL OF LAW AND SOCIETY,0263-323X,.
JOURNAL OF PRIVATE INTERNATIONAL LAW,1744-1048,.
JOURNAL OF PUBLIC ADMINISTRATION RESEARCH AND THEORY,1053-1858,.
JOURNAL OF PUBLIC ADMINISTRATION RESEARCH AND THEORY,1477-9803,.
JOURNAL OF ROMAN STUDIES,0075-4358,.
JOURNAL OF THE HISTORY OF INTERNATIONAL LAW,1388-199X,.
JURISPRUDENCE,2106-8976,.
JURISTENZEITUNG,0022-6882,.
JUS,0022-6955,.
JUS,1827-7942,.
KOINONIA,0393-2230,.
KRITISCHE JUSTIZ,0023-4834,.
"KRITSCHE VIERTELJAHRESSCHRIFT FÜR GESETZGEBUNG UND RECHTSPRECHUNG,",2193-7869,.
LA LEGISLAZIONE PENALE,0393-134X,.
LA LEGISLAZIONE PENALE,2421-552X,.
LA NUOVA GIURISPRUDENZA CIVILE COMMENTATA,1593-7305,.
LA RESPONSABILITÀ AMMINISTRATIVA DELLE SOCIETÀ E DEGLI ENTI,2239-2416,.
LA SEMAINE JURIDIQUE. G,0242-5777,.
LABEO,0023-6462,In Classe A fino al 31.12.2016 - Le pubblicazioni successive a tale data non saranno ritenute di Classe A
LAICIDAD Y LIBERTADES,1696-6937,.
L'ANNÉE CANONIQUE,0570-1953,.
LAVORO E DIRITTO,1120-947X,.
LAW & SOCIETY REVIEW,1540-5893,.
LAW AND CONTEMPORARY PROBLEMS,0023-9186,.
