TITOLO,ISSN,VERSIONE,13/A1,13/A2,13/A3,13/A4,13/A5,13/B1,13/B2,13/B3,13/B4,13/B5,13/C1,13/D1,13/D2,13/D3,13/D4
4OR,1619-4500,print,,,,,,A,A,A,A,A,,,,,A
4OR,1614-2411,on-line,,,,,,A,A,A,A,A,,,,,A
ABACUS,0001-3072,print,,,,,,A,A,A,A,A,,,,,
ABSTRACT AND APPLIED ANALYSIS,1085-3375,.,,,,,,,,,,,,(a),(a),(a),(a)
ACADEMY OF MANAGEMENT JOURNAL,0001-4273,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ACADEMY OF MANAGEMENT LEARNING & EDUCATION,1537-260X,print,(a),(a),(a),(a),(a),A,A,A,A,A,A,(a),(a),(a),(a)
ACADEMY OF MANAGEMENT PERSPECTIVES,1558-9080,.,(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a)
ACADEMY OF MANAGEMENT REVIEW,0363-7425,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ACCOUNTING AND BUSINESS RESEARCH,0001-4788,print,,,,,,A,A,A,A,A,A,,,,
ACCOUNTING AUDITING & ACCOUNTABILITY,0951-3574,print,,,,,,A,A,A,A,A,A,,,,
ACCOUNTING HISTORY,1749-3374,.,,,,,,A,A,A,A,A,A,,,,
ACCOUNTING HISTORY,1032-3732,.,,,,,,A,A,A,A,A,A,,,,
ACCOUNTING HISTORY REVIEW,2155-286X,on-line,,,,,,A,A,A,A,A,A,,,,
ACCOUNTING HISTORY REVIEW,2155-2851,print,,,,,,A,A,A,A,A,A,,,,
ACCOUNTING HORIZONS,1558-7975,on-line,,,,,,A,A,A,A,A,A,,,,
ACCOUNTING HORIZONS,0888-7993,print,,,,,,A,A,A,A,A,A,,,,
ACCOUNTING REVIEW,0001-4826,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
"ACCOUNTING, AUDITING & ACCOUNTABILITY JOURNAL",1368-0668,print,(a),(a),(a),(a),(a),A,A,A,A,A,A,,,,
"ACCOUNTING, ORGANIZATIONS AND SOCIETY",0361-3682,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ACM TRANSACTIONS ON COMPUTER-HUMAN INTERACTION,1073-0516,print,,,,,,A,A,A,A,A,,,,,
ACM TRANSACTIONS ON INFORMATION SYSTEMS,1046-8188,print,,,,,,A,A,A,A,A,A,,,,
ACM TRANSACTIONS ON MANAGEMENT INFORMATION SYSTEMS,2158-656X,print,,,,,,A,A,A,A,A,A,,,,
ADMINISTRATION & SOCIETY,0095-3997,print,,,,,,A,A,A,A,A,A,,,,
ADMINISTRATIVE SCIENCE QUARTERLY,0001-8392,print,A,A,A,A,A,A,A,A,A,A,A,(a),(a),(a),(a)
ADVANCES IN APPLIED PROBABILITY,0001-8678,.,(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),A,A,A,(a)
ADVANCES IN WATER RESOURCES,0309-1708,.,,,,,,,,,,,,(a),(a),(a),(a)
AGEING AND SOCIETY,0144-686X,.,(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a)
AGING CELL,1474-9718,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
AGRICULTURAL WATER MANAGEMENT,0378-3774,.,,,,,,,,,,,,(a),(a),(a),(a)
AIDS CARE,0954-0121,.,,,,,,,,,,,,(a),(a),(a),(a)
AIDS PATIENT CARE AND STDS,1087-2914,.,,,,,,,,,,,,(a),(a),(a),(a)
ALGORITHMICA,0178-4617,.,,,,,,,,,,,,(a),(a),(a),(a)
AMERICAN ECONOMIC JOURNAL. APPLIED ECONOMICS,1945-7790,on-line,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
AMERICAN ECONOMIC JOURNAL. ECONOMIC POLICY,1945-774X,on-line,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
AMERICAN ECONOMIC JOURNAL: APPLIED ECONOMICS,1945-7782,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
AMERICAN ECONOMIC JOURNAL: ECONOMIC POLICY,1945-7731,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
AMERICAN ECONOMIC JOURNAL: MACROECONOMICS,1945-7715,on-line,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
AMERICAN ECONOMIC JOURNAL: MACROECONOMICS,1945-7707,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
AMERICAN ECONOMIC JOURNAL: MICROECONOMICS,1945-7685,on-line,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
AMERICAN ECONOMIC JOURNAL: MICROECONOMICS,1945-7669,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
AMERICAN HEART JOURNAL,0002-8703,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
AMERICAN JOURNAL OF AGRICULTURAL ECONOMICS,0002-9092,print,A,A,A,A,A,(a),(a),(a),(a),(a),A,(a),(a),(a),(a)
AMERICAN JOURNAL OF EPIDEMIOLOGY,0002-9262,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
AMERICAN JOURNAL OF EVALUATION,1098-2140,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
AMERICAN JOURNAL OF GASTROENTEROLOGY,0002-9270,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
AMERICAN JOURNAL OF POLITICAL SCIENCE,1540-5907,on-line,A,A,A,A,A,A,A,A,A,A,A,,,,
AMERICAN JOURNAL OF POLITICAL SCIENCE,0092-5853,print,A,A,A,A,A,A,A,A,A,A,A,,,,
AMERICAN JOURNAL OF PUBLIC HEALTH,1541-0048,on-line,A,A,A,A,A,,,,,,A,,,,
AMERICAN JOURNAL OF PUBLIC HEALTH,0090-0036,print,A,A,A,A,A,,,,,,A,,,,
AMERICAN JOURNAL OF RESPIRATORY AND CRITICAL CARE MEDICINE,1073-449X,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
AMERICAN JOURNAL OF SOCIOLOGY,1537-5390,on-line,A,A,A,A,A,A,A,A,A,A,A,,,,
AMERICAN LAW AND ECONOMICS REVIEW,1465-7260,on-line,A,A,A,A,A,A,A,A,A,A,,,,,
AMERICAN LAW AND ECONOMICS REVIEW,1465-7252,print,A,A,A,A,A,A,A,A,A,A,,,,,
AMERICAN POLITICAL SCIENCE REVIEW,0003-0554,print,A,A,A,A,A,A,A,A,A,A,A,(a),(a),(a),(a)
AMERICAN REVIEW OF PUBLIC ADMINISTRATION,0275-0740,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
AMERICAN SOCIOLOGICAL REVIEW,0003-1224,print,A,A,A,A,A,A,A,A,A,A,A,,,,
ANALYTICA CHIMICA ACTA,0003-2670,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
ANALYTICAL AND BIOANALYTICAL CHEMISTRY,1618-2642,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
ANALYTICAL CHEMISTRY,1520-6882,on-line,,,,,,A,A,A,A,A,,,,,
ANALYTICAL CHEMISTRY,0003-2700,print,,,,,,A,A,A,A,A,,(a),(a),(a),(a)
ANIMAL BEHAVIOUR,0003-3472,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
ANNALES DE L'INSTITUT HENRI POINCARE-PROBABILITES ET STATISTIQUES,0246-0203,print,(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),(a),A,A,A,A
ANNALI DI MATEMATICA PURA ED APPLICATA,0373-3114,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
ANNALS OF APPLIED BIOLOGY,0003-4746,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
ANNALS OF EPIDEMIOLOGY,1047-2797,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
ANNALS OF FINANCE,1614-2454,on-line,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ANNALS OF FINANCE,1614-2446,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ANNALS OF MATHEMATICS,0003-486X,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
ANNALS OF NEUROLOGY,0364-5134,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
ANNALS OF ONCOLOGY,0923-7534,.,,,,,,(a),(a),(a),(a),(a),,(a),(a),(a),(a)
ANNALS OF OPERATIONS RESEARCH,1572-9338,on-line,,,,,,,,,,,,A,A,A,A
ANNALS OF OPERATIONS RESEARCH,0254-5330,print,,,,,,,,,,,,A,A,A,A
ANNALS OF PROBABILITY,0091-1798,print,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A
